"yr","away","home","pts.away","pts.home","home.win","net.a","net.h","dif"
2013,"OKC","LAL",116,101,FALSE,9.80000000000001,1.2,-8.60000000000001
2013,"SAS","MEM",98,101,TRUE,6.7,4.60000000000001,-2.09999999999999
2013,"DET","MIL",103,87,FALSE,-4.3,-1.60000000000001,2.69999999999999
2013,"MIN","NOH",92,104,TRUE,-2.5,-4.39999999999999,-1.89999999999999
2013,"CHI","NYK",108,101,FALSE,0.299999999999997,4.8,4.5
2013,"CHA","TOR",78,99,TRUE,-10,-1.59999999999999,8.40000000000001
2013,"PHO","CHI",97,81,FALSE,-6.89999999999999,0.299999999999997,7.19999999999999
2013,"MEM","DAL",83,104,TRUE,4.60000000000001,-0.599999999999994,-5.2
2013,"UTA","DET",90,87,FALSE,-0.0999999999999943,-4.3,-4.2
2013,"CHA","IND",88,96,TRUE,-10,4.5,14.5
2013,"ORL","LAC",104,101,FALSE,-7.5,7,14.5
2013,"HOU","PHI",100,107,TRUE,3.60000000000001,-3.7,-7.30000000000001
2013,"MIA","SAC",128,99,FALSE,8.59999999999999,-5.2,-13.8
2013,"ATL","WAS",83,93,TRUE,0.399999999999991,-2.8,-3.19999999999999
2013,"IND","BRK",86,97,TRUE,4.5,2,-2.5
2013,"GSW","DEN",105,116,TRUE,0.900000000000006,5.30000000000001,4.40000000000001
2013,"CLE","LAL",93,113,TRUE,-5.10000000000001,1.2,6.30000000000001
2013,"NOH","NYK",87,100,TRUE,-4.39999999999999,4.8,9.19999999999999
2013,"OKC","POR",87,83,FALSE,9.80000000000001,-3.40000000000001,-13.2
2013,"MIN","SAS",88,106,TRUE,-2.5,6.7,9.2
2013,"MIL","TOR",107,96,FALSE,-1.60000000000001,-1.59999999999999,1.4210854715202e-14
2013,"CHA","BOS",89,100,TRUE,-10,-0.200000000000003,9.8
2013,"ATL","CHI",58,97,TRUE,0.399999999999991,0.299999999999997,-0.0999999999999943
2013,"MIN","DAL",98,113,TRUE,-2.5,-0.599999999999994,1.90000000000001
