"Name","Team","mp","ts","usg","Position","ortg.on","ortg.off"
"Alex Caruso","LAL",223,50.5,10.7,"PG",109.7,104.5
"Omri Casspi","GSW",598,65.7,15.7,"SF",109.9,118.2
"Willie Cauley-Stein","SAC",1226,52.6,21.8,"C",103.9,102.3
"Tyler Cavanaugh","ATL",413,60.3,14.3,"PF",111.1,105.3
"Mario Chalmers","MEM",999,49,19.3,"PG",106.2,106.1
"Tyson Chandler","PHO",909,63.7,10.6,"C",103.7,106.7
"Wilson Chandler","DEN",1376,52,14.5,"SF",109.7,109.6
"Marquese Chriss","PHO",910,49.4,16.8,"PF",107.5,104.4
"Ian Clark","NOP",670,49.3,15.8,"SG",110.7,110.5
"Jordan Clarkson","LAL",1133,53.4,27.3,"SG",106.1,104
"Gian Clavell","DAL",64,53,15,"SG",106.9,107.1
"Antonius Cleveland","DAL",81,31.7,10.1,"SG",89.9,107.7
"John Collins","ATL",951,62.9,19.3,"PF",105.4,107
"Zach Collins","POR",496,49.1,15.5,"C",113.7,107.6
"Kyle Collinsworth","DAL",95,69.6,9.9,"SF",111.1,107
"Darren Collison","IND",1447,61,17.5,"PG",113.1,107
"Nick Collison","OKC",44,83.8,9.6,"PF",120.7,109.9
"Mike Conley","MEM",373,52,26.3,"PG",106.5,106.1
"Pat Connaughton","POR",985,56.8,13.9,"SG",112.1,106.4
"Quinn Cook","GSW",103,54.3,13.8,"PG",103,116.7
"Charles Cooke","NOP",18,33.8,24.1,"SG",94.4,110.7
"Jack Cooley","SAC",2,53.2,42.2,"PF",166.7,103.1
"Matt Costello","SAS",18,33.3,10,"C",145.5,106.9
"DeMarcus Cousins","NOP",1737,58.3,32.3,"C",110.1,111.9
"Robert Covington","PHI",1389,57.7,17.8,"PF",109.9,102.5
"Allen Crabbe","BRK",1328,53.6,18,"SG",106.8,105.1
"Torrey Craig","DEN",269,57.3,11.2,"SF",111.9,109.4
"Jamal Crawford","MIN",946,53,24.7,"SG",108.4,116.9
"Jordan Crawford","NOP",37,64.3,21.3,"SG",115.6,110.5
"Jae Crowder","CLE",1193,54,15.3,"SF",111,113.1
"Dante Cunningham","NOP",1023,52.5,9.9,"SF",109.5,111.4
"Stephen Curry","GSW",1158,68,31.1,"PG",123.8,108.5
"Troy Daniels","PHO",933,62.1,17.3,"SG",107.6,104.3
"Anthony Davis","NOP",1525,63,27.7,"PF",111.5,108.8
"Deyonta Davis","MEM",432,62.6,16.2,"C",107.6,105.8
"Ed Davis","POR",918,59.4,12.8,"C",111.3,107.3
"Dewayne Dedmon","ATL",699,60.8,18.2,"C",105.8,106.6
"Sam Dekker","LAC",640,50.3,15.8,"PF",109,110.3
"Malcolm Delaney","ATL",785,50.9,16.7,"PG",105.6,106.7
"Matthew Dellavedova","MIL",593,49.5,14.1,"PG",108.7,110.1
"Luol Deng","LAL",13,50,9.7,"SF",86.7,105.1
"DeMar DeRozan","TOR",1625,56.9,30,"SG",115.2,107.7
"Cheick Diallo","NOP",147,58.6,17.9,"PF",102.9,111.1
"Gorgui Dieng","MIN",880,55.7,16.1,"C",108.6,116.5
"Spencer Dinwiddie","BRK",1389,53.1,21.1,"PG",108.9,102.4
"Tyler Dorsey","ATL",210,49.4,18.8,"SG",106.7,106.3
"Damyean Dotson","NYK",176,53.5,14.6,"SG",96.6,109.4
"Milton Doyle","BRK",63,34.2,19.3,"SG",104,106.1
"Goran Dragic","MIA",1402,52.7,26.7,"PG",105.5,107.7
"Larry Drew","PHI",12,0,17.7,"PG",93.8,107.3
"Andre Drummond","DET",1486,57.2,21,"C",108.9,103
"Jared Dudley","PHO",308,55.7,10.3,"PF",115,104.2
"Kris Dunn","CHI",1185,48.3,25.3,"PG",103.9,105.6
"Kevin Durant","GSW",1460,62.8,29.9,"PF",118.7,112
"Jarell Eddie","BOS",6,0,7.5,"SF",54.5,107.4
"Henry Ellenson","DET",120,46.3,24.9,"PF",91.9,107.8
"Wayne Ellington","MIA",1281,60.7,17.7,"SG",110.1,102.1
"Joel Embiid","PHI",1131,58,32.9,"C",111.3,102.9
"James Ennis","MEM",968,62.5,12.5,"SF",104.9,107.1
"Tyler Ennis","LAL",333,43,16.1,"PG",103.2,105.3
