"Name","Team","mp","ts","usg","Position","ortg.on","ortg.off"
"Jakob Poeltl","TOR",829,63.3,15,"C",112,113.8
"Quincy Pondexter","CHI",188,39.8,15.7,"SF",88.2,106.2
"Otto Porter","WAS",1426,58.1,17.4,"SF",110.7,107.7
"Bobby Portis","CHI",818,57.6,25.6,"PF",111.8,101.1
"Kristaps Porzingis","NYK",1409,53.8,31.7,"PF",110.1,106.1
"Dwight Powell","DAL",908,63.2,15.2,"C",108.7,106.1
"Norman Powell","TOR",681,48,20,"SG",107.9,115.4
"Alex Poythress","IND",90,50,11.4,"PF",109.5,110.7
"Jacob Pullen","PHI",6,50,21.2,"PG",71.4,107.3
"Zhou Qi","HOU",75,29.9,19.3,"C",83.3,116.5
"Ivan Rabb","MEM",79,74.2,19.3,"PF",117.5,105.9
"Julius Randle","LAL",1123,59.5,24.8,"C",106.3,103.8
"Zach Randolph","SAC",1032,53.6,27.4,"PF",102.5,103.6
"J.J. Redick","PHI",1173,60.2,20.7,"SG",110.5,103.2
"Davon Reed","PHO",5,0,17,"SG",160,105.4
"Willie Reed","LAC",419,66.9,16.9,"C",110.9,109.7
"Josh Richardson","MIA",1671,54.5,18.2,"SF",106.9,105
"Malachi Richardson","SAC",319,44.5,15.2,"SG",103.8,103
"Austin Rivers","LAC",1047,52.9,22.3,"SG",111.3,108.9
"Andre Roberson","OKC",1037,54.3,8.7,"SG",108.9,110.9
"Rajon Rondo","NOP",825,52.8,15.7,"PG",110.6,110.5
"Derrick Rose","CLE",250,58.4,26.2,"PG",110.2,112.2
"Terrence Ross","ORL",576,51.5,16.4,"SG",107.3,106
"Terry Rozier","BOS",1152,50.5,19,"PG",103.4,110.7
"Ricky Rubio","UTA",1404,49.9,21.9,"PG",103.6,110.6
"D'Angelo Russell","BRK",398,52.2,35.1,"PG",104.7,106.3
"Domantas Sabonis","IND",1226,58.6,22.4,"C",110.4,110.9
"JaKarr Sampson","SAC",102,65.6,11,"SF",105.6,103
"Dario Saric","PHI",1345,56.5,20,"PF",108.2,105.6
"Tomas Satoransky","WAS",654,58.8,13,"SG",107.4,110.3
"Dennis Schroder","ATL",1448,51.2,30.3,"PG",108.1,103.5
"Mike Scott","WAS",830,65.4,19.2,"PF",109.6,109.5
"Thabo Sefolosha","UTA",806,59.1,16.5,"SF",108.9,105.2
"Wayne Selden","MEM",220,52.7,23.4,"SG",103.8,106.4
"Ramon Sessions","NYK",167,40.3,19.7,"PG",97.9,109.2
"Iman Shumpert","CLE",276,48,13.1,"SG",110.9,112.1
"Pascal Siakam","TOR",914,50.3,15.2,"PF",111,114.5
"Ben Simmons","PHI",1543,53.3,23.6,"PG",107.3,107.1
"Jonathon Simmons","ORL",1352,54,22.2,"SG",104.7,108.6
"Kobi Simmons","MEM",176,48.7,14.6,"PG",112,105.7
"Kyle Singler","OKC",44,45.1,21.6,"SF",107.9,110.1
"Marcus Smart","BOS",1393,46.7,19.6,"SG",107.1,107.4
"Dennis Smith","DAL",1203,48.1,28.7,"PG",106.9,107.3
"Ish Smith","DET",1089,49.3,21.9,"PG",105.6,108.1
"J.R. Smith","CLE",1375,50.7,12.8,"SG",111.6,112.5
"Jason Smith","WAS",194,37.9,21.3,"C",96.9,110.7
"Josh Smith","NOP",12,25,14.6,"PF",82.6,110.7
"Tony Snell","MIL",1219,61.9,10.9,"SG",110.6,108.6
"Marreese Speights","ORL",478,50.8,25.8,"C",107.3,106.1
"Nik Stauskas",NA,314,59.3,15.7,"SG",NA,NA
"Nik Stauskas","PHI",45,41,8.4,"SG",81.3,107.7
"Nik Stauskas","BRK",269,60.3,16.9,"SG",104.7,106.2
"Lance Stephenson","IND",1161,50.2,20,"SG",109.2,112
"Julyan Stone","CHO",33,75,10.5,"SG",79.5,107.8
"Caleb Swanigan","POR",133,40.9,19.5,"PF",102,109.2
"Jayson Tatum","BOS",1549,60.4,17.9,"SF",108,105.8
"Isaiah Taylor","ATL",517,46.9,17.4,"PG",106.7,106.2
"Jeff Teague","MIN",1369,53.3,20.2,"PG",114.6,112.6
"Mirza Teletovic","MIL",159,62.3,18.4,"PF",100.9,110.4
"Garrett Temple","SAC",1121,51.5,16.8,"SG",100.9,105.3
"Milos Teodosic","LAC",538,52.5,19.2,"PG",111.7,109.4
"Jason Terry","MIL",179,33.5,9.7,"SG",99.7,110.5
"Daniel Theis","BOS",653,60.6,16.2,"C",104.8,108.1
"Isaiah Thomas","CLE",229,50.4,31.6,"PG",104.1,112.8
"Lance Thomas","NYK",876,52.6,10.9,"PF",106.9,109.3
"Klay Thompson","GSW",1682,60.2,23.6,"SG",116,116.4
"Tristan Thompson","CLE",528,61,11.6,"C",107.6,113.2
"Sindarius Thornwell","LAC",602,52.2,12.3,"SG",99.7,113.6
"Anthony Tolliver","DET",880,62.3,14.6,"PF",105.7,107.7
"Karl-Anthony Towns","MIN",1844,63.3,22.2,"C",117.2,104.4
"P.J. Tucker","HOU",1266,51.7,9.8,"SF",117,113.3
"Evan Turner","POR",1260,52.6,16.2,"SF",106.6,111.5
"Myles Turner","IND",975,56.7,21.3,"C",112,109.7
"Ekpe Udoh","UTA",680,56.9,8.7,"C",110.1,105
"Tyler Ulis","PHO",1129,45,17.2,"PG",103.2,107.7
"Jonas Valanciunas","TOR",912,62.5,21.9,"C",115.2,111.7
"Denzel Valentine","CHI",1392,53.6,15.8,"SG",103.5,106.4
"Fred VanVleet","TOR",810,53.1,18.3,"PG",112.9,113.3
"Rashad Vaughn","MIL",165,55.3,14.6,"SG",110.1,109.7
"Noah Vonleh","POR",454,54.6,11.2,"PF",104,110
"Nikola Vucevic","ORL",1018,55.7,25.4,"C",110.5,102.7
"Dwyane Wade","CLE",972,51.5,24.4,"SG",111.6,112.3
"Dion Waiters","MIA",918,48.7,25.3,"SG",102.4,109
"Kemba Walker","CHO",1602,54.8,27.7,"PG",111.3,98.6
"John Wall","WAS",1269,51.1,28.9,"PG",112.1,106.2
"Tyrone Wallace","LAC",356,55.3,15.3,"PG",112.8,109.5
"Taurean Waller-Prince","ATL",1487,54.4,19.7,"SF",106.8,105.7
"Derrick Walton","MIA",137,52.4,9.2,"PG",102.7,106.6
"T.J. Warren","PHO",1476,54,26,"SF",106.1,104.7
"James Webb","BRK",5,0,17.2,"F",NA,NA
"Briante Weber","HOU",118,54.7,11.3,"PG",102.1,116.1
"David West","GSW",640,62.9,21.7,"C",109,118.5
"Russell Westbrook","OKC",1758,52,35.2,"PG",112.9,101.5
"Derrick White","SAS",78,55.2,11.8,"PG",102.6,107.3
"Okaro White","MIA",80,57.7,10.4,"PF",105,106.4
"Isaiah Whitehead","BRK",152,54.9,28.1,"PG",98,106.6
"Hassan Whiteside","MIA",803,59.1,24.2,"C",101.2,109.1
"Andrew Wiggins","MIN",1880,50.8,23.9,"SF",114.7,110.6
"Jacob Wiley","BRK",33,41,6.3,"PF",97.1,106.2
"Damien Wilkins","IND",152,40.5,13.5,"SF",115.1,110.4
"C.J. Williams","LAC",544,54.9,13.3,"SG",109.9,110
"Lou Williams","LAC",1516,60.9,30,"SG",111.7,106.3
"Marvin Williams","CHO",1252,63.2,13.8,"PF",109.5,104.8
"Matt Williams","MIA",11,41.7,29,"SG",131.8,106.2
"Troy Williams","HOU",17,24.2,28.9,"SF",74.3,115.7
"D.J. Wilson","MIL",54,55,11.9,"PF",82.7,110.3
"Jamil Wilson","LAC",274,63.4,14.4,"SF",108.3,110.2
"Justise Winslow","MIA",809,49.1,14.7,"SF",104.1,107.5
"Jeff Withey","DAL",39,44.4,22.2,"C",109.9,107.1
"Nate Wolters","UTA",19,16.7,14.3,"PG",118.2,106.4
"Brandan Wright","MEM",337,59.2,15.1,"PF",105.1,106.4
"Delon Wright","TOR",754,59.6,17.2,"PG",111.4,114
"Guerschon Yabusele","BOS",85,55.6,17.3,"PF",92.1,107.8
"James Young","PHI",29,37.2,15.8,"SG",90.2,107.4
"Joe Young","IND",310,54.6,18.7,"PG",104.1,111.6
"Nick Young","GSW",690,58.7,18.4,"SG",112.5,117.6
"Thaddeus Young","IND",1632,54,17.1,"PF",112.2,107.6
"Cody Zeller","CHO",378,56.8,16.2,"C",104.4,108
"Tyler Zeller","BRK",695,58.6,17.8,"C",106.8,105.7
"Paul Zipser","CHI",589,41.2,15.1,"SF",99.9,106.2
"Ante Zizic","CLE",41,46.2,17.4,"C",90,112.4
"Ivica Zubac","LAL",48,42.9,16.7,"C",89.9,105.3
