"","nm","Career Att.","Career Pct.","17-18 Makes","17-18 Att.","17-18 Pct.","Preseason Proj.","Proj. Now","Change"
"418","Tyler Ulis",79,0.2658224,8,35,0.228571428571429,0.3347128,0.3286376,-0.006075188
"420","Denzel Valentine",208,0.3509614,47,115,0.408695652173913,0.3461774,0.3573654,0.01118797
"421","Fred VanVleet",29,0.379309,17,47,0.361702127659574,0.3455398,0.346791,0.001251128
"424","Nikola Vucevic",101,0.2970294,35,99,0.353535353535354,0.3368662,0.3382857,0.001419549
"425","Dwyane Wade",1502,0.2869507,9,26,0.346153846153846,0.2869507,0.2889343,0.00198361
"426","Dion Waiters",1068,0.3529962,42,135,0.311111111111111,0.3529962,0.346607,-0.006389254
"427","Kemba Walker",2257,0.3509083,45,123,0.365853658536585,0.3509083,0.353014,0.002105708
"428","John Wall",1327,0.3210248,19,60,0.316666666666667,0.3210248,0.320702,-0.0003228279
"429","Taurean Waller-Prince",102,0.3235291,37,87,0.425287356321839,0.3408602,0.3514947,0.01063459
"431","T.J. Warren",189,0.3121691,5,35,0.142857142857143,0.3349534,0.3243669,-0.01058647
"434","Russell Westbrook",2258,0.3126661,41,122,0.336065573770492,0.3126661,0.3159398,0.003273785
"439","Andrew Wiggins",605,0.3289256,34,106,0.320754716981132,0.3302857,0.3277075,-0.00257826
"443","Lou Williams",2430,0.3403292,50,129,0.387596899224806,0.3403292,0.3472661,0.006936897
"444","Marvin Williams",2051,0.3529985,34,75,0.453333333333333,0.3529985,0.3621199,0.009121347
"448","Justise Winslow",151,0.258278,10,31,0.32258064516129,0.3245353,0.3235368,-0.0009984962
"452","Delon Wright",43,0.3488364,8,28,0.285714285714286,0.3443128,0.3418586,-0.002454135
"455","Nick Young",2233,0.3761755,35,87,0.402298850574713,0.3761755,0.3788909,0.002715327
"456","Thaddeus Young",845,0.3301775,24,72,0.333333333333333,0.3301775,0.3304539,0.0002764255
"459","Paul Zipser",99,0.333333,10,40,0.25,0.342412,0.3367579,-0.005654135
