"away","home"
"Dallas Mavericks","Philadelphia 76ers"
"Golden State Warriors","Phoenix Suns"
"Orlando Magic","Toronto Raptors"
"Chicago Bulls","Brooklyn Nets"
"Portland Trail Blazers","Denver Nuggets"
"Toronto Raptors","Detroit Pistons"
"New Orleans Pelicans","Los Angeles Clippers"
"Oklahoma City Thunder","Miami Heat"
"Orlando Magic","Milwaukee Bucks"
"Memphis Grizzlies","Minnesota Timberwolves"
"Cleveland Cavaliers","New York Knicks"
"Sacramento Kings","San Antonio Spurs"
"Philadelphia 76ers","Atlanta Hawks"
"Phoenix Suns","Dallas Mavericks"
"Charlotte Hornets","Indiana Pacers"
"Houston Rockets","Los Angeles Lakers"
"Golden State Warriors","Utah Jazz"
"Boston Celtics","Washington Wizards"
"Brooklyn Nets","Boston Celtics"
"Detroit Pistons","Chicago Bulls"
"New York Knicks","Cleveland Cavaliers"
"Los Angeles Lakers","Los Angeles Clippers"
"Toronto Raptors","Miami Heat"
"Denver Nuggets","Minnesota Timberwolves"
"San Antonio Spurs","New Orleans Pelicans"
"Memphis Grizzlies","Oklahoma City Thunder"
"Washington Wizards","Orlando Magic"
"Milwaukee Bucks","Philadelphia 76ers"
"Utah Jazz","Portland Trail Blazers"
"Houston Rockets","Sacramento Kings"
